n,N,N_label,standard_paper_grid,seed,scaled_budget,Delta_N_u_total,Delta_N_u_mean_term,Delta_N_u_cov_term,self_consistency_kl_u
100,460,N=n log(n),1,11,0.0380165289256198,5.790023516090117,1.4738669836761094,4.316156532414007,-0.0025118961778625
100,460,N=n log(n),1,12,0.0380165289256198,9.702925286802463,3.053549234309941,6.6493760524925225,0.056631366653903
100,460,N=n log(n),1,13,0.0380165289256198,5.314385302939764,0.684559379697369,4.629825923242395,0.0055880675171387
100,460,N=n log(n),1,14,0.0380165289256198,4.544396594167028,1.7869083699643775,2.757488224202651,0.034244227112535
100,460,N=n log(n),1,15,0.0380165289256198,6.16309823586575,1.8945076825204628,4.2685905533452875,0.0441953358538434
100,460,N=n log(n),1,16,0.0380165289256198,3.951846636974591,1.5060561048242755,2.445790532150316,-0.0987752181358775
100,460,N=n log(n),1,17,0.0380165289256198,7.193396175064022,1.5684615241496207,5.624934650914401,0.0372600023463761
100,460,N=n log(n),1,18,0.0380165289256198,7.947186812425148,2.410799908128147,5.536386904297001,0.0417790832521159
100,460,N=n log(n),1,19,0.0380165289256198,6.056176457140477,1.8944736940670324,4.161702763073445,0.0165072466597903
100,460,N=n log(n),1,20,0.0380165289256198,6.199762617094925,1.3571873127783345,4.842575304316591,-0.0083559588659506
