n,N,N_label,standard_paper_grid,seed,flow_theta_kl,gaussian_theta_kl
10000,92103,N=n log(n),0,8,4.229228897825127,3.8553747059239662
10000,92103,N=n log(n),0,9,3.414350509294162,3.891825884556463
10000,92103,N=n log(n),0,10,5.330136427602201,4.7631726040352875
10000,92103,N=n log(n),0,11,7.165551853643714,3.576460347172676
10000,92103,N=n log(n),0,12,3.4264758445946826,4.03697646671959
10000,92103,N=n log(n),0,13,5.552260818414982,5.494465689941535
10000,92103,N=n log(n),0,14,4.737929282986136,3.7130051326252
10000,92103,N=n log(n),0,15,3.476849773932177,3.8097085223021767
10000,92103,N=n log(n),0,16,3.8196213489417685,5.427377145265214
10000,92103,N=n log(n),0,17,4.086660019500127,3.246199851720061
10000,92103,N=n log(n),0,18,3.683836277066349,3.207423545953007
10000,92103,N=n log(n),0,19,4.419829022898871,4.598379343262091
10000,92103,N=n log(n),0,20,3.5613357253959848,5.2239450294980125
10000,92103,N=n log(n),0,21,4.426475654064798,4.861686653273435
10000,92103,N=n log(n),0,22,3.1156321274412493,4.110703373284637
10000,92103,N=n log(n),0,23,3.2800697850348275,4.022285821078384
10000,92103,N=n log(n),0,24,5.271259927849505,3.7294171379030607
10000,92103,N=n log(n),0,25,3.366077695579221,3.4205810255743936
10000,92103,N=n log(n),0,26,3.4018320519784226,3.536878955842474
10000,92103,N=n log(n),0,27,4.006549430001177,4.890332727538249
10000,92103,N=n log(n),0,28,5.114127102288784,3.948942004016482
10000,92103,N=n log(n),0,29,4.121645222788467,4.591244834834295
10000,92103,N=n log(n),0,30,3.2804375789964078,3.821813250398839
10000,92103,N=n log(n),0,31,3.632997331649926,4.588002265803708
10000,92103,N=n log(n),0,32,3.6183742105954533,3.8866052123457484
10000,92103,N=n log(n),0,33,3.2519666713144177,4.635417515317043
10000,92103,N=n log(n),0,34,4.04132012794257,5.001131708821336
10000,92103,N=n log(n),0,35,4.219520586822793,3.9527640362826832
10000,92103,N=n log(n),0,36,4.124351983989525,3.9993972019685753
10000,92103,N=n log(n),0,37,3.1173017883243914,4.002313241452381
