method,n,N,N_label,param,seed_count,replicate_count_total,seed_mean_bias_mean,seed_mean_bias_sd,seed_mean_abs_bias_mean,seed_mean_bias_rmse,replicate_mean_abs_bias_mean,seed_mean_bias_q05,seed_mean_bias_q25,seed_mean_bias_median,seed_mean_bias_q75,seed_mean_bias_q95
gaussian_npe,1000,1000,N=n,A,101,10100,-0.011017966435687377,0.047037550974203916,0.03470373066345064,0.048083474671735925,0.045680589841143926,-0.06920905828475953,-0.03460928678512573,-0.009021799564361572,0.02196629285812378,0.056585757732391356
gaussian_npe,1000,1000,N=n,B,101,10100,-0.16579979459247968,0.30887856450728696,0.22645584819930614,0.3492147275792889,0.227415335266897,-0.3322210258245468,-0.2657053107023239,-0.20436312079429628,-0.13662426114082338,0.004166361093521118
gaussian_npe,1000,1000,N=n,g,101,10100,2.7052438952427096,0.38978622822829784,2.7052438952427096,2.7329056965670415,2.7052438952427096,2.056078066825867,2.4232685947418213,2.739771761894226,2.979893751144409,3.3385364818573
gaussian_npe,1000,1000,N=n,k,101,10100,3.0185173939006162,0.3086133212582144,3.0185173939006162,3.0340973035545566,3.0185173939006162,2.5518084359169007,2.811911396980286,3.027182011604309,3.175798485279083,3.526830725669861
gaussian_npe,1000,6907,N=n log(n),A,101,10100,-0.020608794878024864,0.014494857735659184,0.021706185883814743,0.025154385704348196,0.03711976945990383,-0.04182209491729736,-0.030120658874511718,-0.02233143091201782,-0.010293564796447753,0.0026639628410339354
gaussian_npe,1000,6907,N=n log(n),B,101,10100,-0.08757269078552136,0.06388755978283132,0.08914876426210498,0.10821360535668617,0.11324774254076551,-0.19779204666614533,-0.1257724165916443,-0.0885090959072113,-0.03515873670578003,0.0014030224084854127
gaussian_npe,1000,6907,N=n log(n),g,101,10100,1.4843375838156971,0.4161200041854344,1.4843375838156971,1.541006004588113,1.4854574702989933,0.6454058802127838,1.2624504828453065,1.4841119027137757,1.745015902519226,2.0485216188430786
gaussian_npe,1000,6907,N=n log(n),k,101,10100,0.9775975852909657,0.3344349404230219,0.9775975852909657,1.032684063391278,0.9775975852909657,0.5693824338912964,0.7699620348215103,0.8698326325416565,1.115873407125473,1.6151951622962952
gaussian_npe,1000,31622,N=n^(3/2),A,101,10100,-0.01034549038008888,0.010664990970442328,0.012178876942927295,0.01482042660882264,0.03304710950001632,-0.027276270389556885,-0.017686386108398438,-0.010057103633880616,-0.002806386947631836,0.006857993602752685
gaussian_npe,1000,31622,N=n^(3/2),B,101,10100,-0.034444176418946516,0.02710527847920968,0.036970519075299246,0.043747264961262494,0.07689647554170968,-0.07784341216087341,-0.05384084284305572,-0.03144481956958771,-0.016719276309013365,0.010378271341323853
gaussian_npe,1000,31622,N=n^(3/2),g,101,10100,0.13766875431089118,0.20716224983323103,0.20301453697799451,0.24787894388271378,0.38841959614564875,-0.17691885113716124,0.021640785932540894,0.13453405499458312,0.2751933753490448,0.41654942512512205
gaussian_npe,1000,31622,N=n^(3/2),k,101,10100,0.18118681290952285,0.0810564655217799,0.18160417083466407,0.19832740803813723,0.18666719197636786,0.07407255172729492,0.12238583832979202,0.17266883105039596,0.2375004243850708,0.32350762605667116
gaussian_npe,1000,1000000,N=n^2,A,101,10100,-0.0032854204366702844,0.007004640807262402,0.006074785666890663,0.0077053999426474834,0.030764817152873117,-0.015521998405456544,-0.008090422153472901,-0.003082571029663086,0.0017777776718139648,0.007637531757354737
gaussian_npe,1000,1000000,N=n^2,B,101,10100,0.0016048504161362597,0.016135557353200304,0.012630628719188196,0.016135487959410708,0.06938585061247986,-0.023424694538116454,-0.009463103413581848,0.0014720571041107178,0.010375545024871827,0.029164767265319823
gaussian_npe,1000,1000000,N=n^2,g,101,10100,0.1103810930016017,0.11204072321783125,0.12678394560766693,0.15688473793948787,0.2077491553703157,-0.05420395493507385,0.03204660415649414,0.09726995468139649,0.18846487760543823,0.2762002897262573
gaussian_npe,1000,1000000,N=n^2,k,101,10100,0.0884452421328809,0.05378108944401785,0.09096728067881989,0.10337470076716934,0.1556547809856953,0.0029057306051254272,0.04664661854505539,0.09438996315002442,0.12460503518581391,0.17635709673166275
gaussian_npe,5000,5000,N=n,A,101,10100,-0.008805484464853117,0.014446126018280079,0.013126849018701231,0.016857071823386697,0.01918425368790579,-0.033364911079406735,-0.016491813659667967,-0.007754156589508057,-0.001114962100982666,0.014578211307525634
gaussian_npe,5000,5000,N=n,B,101,10100,-0.08994658131410581,0.05330804261465548,0.09089914783392802,0.10442221403780116,0.0929991046863027,-0.20032473266124726,-0.10683387756347656,-0.07917520821094513,-0.061501042246818544,-0.03171444118022919
