n_obs,n_sims,budget_label,delta0,rows,complete_rows,shape_ok_rows,finite_kl_rows,infinite_kl_rows,nan_kl_rows,finite_kl_fraction,infinite_kl_fraction,finite_kl_min,finite_kl_q25,finite_kl_median,finite_kl_q75,finite_kl_max,finite_mmd_rows,mmd_min,mmd_q25,mmd_median,mmd_q75,mmd_max
1000,1000,N=n,0.5,101,0,0,101,0,0,1.0,0.0,6.388645446443006,7.0016632789650854,7.2851967055197395,7.5767014298838005,8.273803947949592,0,,,,,
1000,1000,N=n,0.75,101,0,0,101,0,0,1.0,0.0,1.2330389740791743,2.591643936399814,3.1494716446913307,3.6006044828317822,5.639019599958464,0,,,,,
1000,1000,N=n,0.99,101,0,0,101,0,0,1.0,0.0,0.12661234513806202,0.27394764110361564,0.3850308129997149,0.46718873328209815,0.9980570288921199,0,,,,,
1000,6907,N=n log(n),0.01,101,0,0,101,0,0,1.0,0.0,12.268392799736397,12.83124334390159,12.93464957269513,13.041902051656571,13.41551182700733,0,,,,,
1000,6907,N=n log(n),0.1,101,0,0,101,0,0,1.0,0.0,11.58546845762378,12.452503815680965,12.549935218879668,12.606838623265594,12.920582142618846,0,,,,,
1000,6907,N=n log(n),0.25,101,0,0,101,0,0,1.0,0.0,12.510974662138798,12.893357708088486,12.967107354806359,13.046340751846264,13.200740419035894,0,,,,,
1000,6907,N=n log(n),0.5,101,0,0,101,0,0,1.0,0.0,5.995057183550108,7.587935744609778,7.805349862101075,7.956162114134901,8.517809833453905,0,,,,,
1000,6907,N=n log(n),0.75,101,0,0,101,0,0,1.0,0.0,1.0259738437015076,1.86639206130938,2.2734501955135387,2.6437489389675863,3.8309399632204353,0,,,,,
1000,6907,N=n log(n),0.99,101,0,0,101,0,0,1.0,0.0,-0.001885145310701679,0.06461725185788676,0.09405646552402196,0.15957011149396466,0.4929970159043833,0,,,,,
1000,31622,N=n^(3/2),0.01,100,0,0,100,0,0,1.0,0.0,11.506636523578964,12.592345406570143,12.765911971016354,12.8784124931434,13.249622172271788,0,,,,,
