delta0,seed,n_obs,n_sims,kl
0.99,83,1000,6907,0.08737950068299864
0.99,84,1000,6907,0.061763826080416334
0.99,85,1000,6907,0.0497866342404297
0.99,86,1000,6907,0.07932684703906728
0.99,87,1000,6907,0.07599682410539245
0.99,88,1000,6907,-0.004483059190173263
0.99,89,1000,6907,0.04522847736654985
0.99,90,1000,6907,0.0461259416789493
0.99,91,1000,6907,0.17063823822321908
0.99,92,1000,6907,0.09976361960234124
0.99,93,1000,6907,0.10072842863338159
0.99,94,1000,6907,-0.02850092393428636
0.99,95,1000,6907,0.14381582596405953
0.99,96,1000,6907,0.2648976120728328
0.99,97,1000,6907,0.11426294519215854
0.99,98,1000,6907,0.03220015518945481
0.99,99,1000,6907,0.13084608216573432
0.99,100,1000,6907,0.12321631382539087
0.99,0,1000,31622,0.0339507870777698
0.99,1,1000,31622,0.04208888841059209
0.99,2,1000,31622,0.03316889580857868
0.99,3,1000,31622,-0.04586072978016155
0.99,4,1000,31622,0.18222433644238398
0.99,5,1000,31622,0.0253306359673189
0.99,6,1000,31622,-0.005906325040377706
0.99,7,1000,31622,-0.012504091324126854
0.99,8,1000,31622,0.015175797420469997
0.99,9,1000,31622,0.11080718078445043
0.99,10,1000,31622,-0.041468955101584104
0.99,11,1000,31622,0.10358538121504492
0.99,12,1000,31622,0.04769468276113212
0.99,13,1000,31622,0.05563113132386183
0.99,14,1000,31622,0.13945850481049324
0.99,15,1000,31622,0.062362834916412466
0.99,16,1000,31622,0.08870078602682807
0.99,17,1000,31622,-0.017332860995638993
0.99,18,1000,31622,0.11938841517088826
0.99,19,1000,31622,22.02422719611324
0.99,20,1000,31622,0.060117153112110064
0.99,21,1000,31622,0.042233912995582434
0.99,22,1000,31622,0.12607291514668603
0.99,23,1000,31622,0.17971823122094754
0.99,24,1000,31622,0.15799742353750698
0.99,25,1000,31622,-0.004948940822756939
0.99,26,1000,31622,0.06258587981611233
0.99,27,1000,31622,0.027235090429062466
0.99,28,1000,31622,0.023399644316594963
0.99,29,1000,31622,0.08913719037733207
0.99,30,1000,31622,0.050787230131479136
0.99,31,1000,31622,0.005913266793344224
0.99,32,1000,31622,0.07932588096226229
0.99,33,1000,31622,0.026253861561150508
0.99,34,1000,31622,-0.0685480120519978
0.99,35,1000,31622,0.11325788940927024
0.99,36,1000,31622,0.0962565503522672
0.99,37,1000,31622,0.12537084944661328
0.99,38,1000,31622,0.08354535845908338
0.99,39,1000,31622,-0.05449748459584358
0.99,40,1000,31622,0.04969369211255112
0.99,41,1000,31622,0.041321948164199665
0.99,42,1000,31622,0.010160592005723536
