method,t1,t2
flow-NPE,0.6126426458358765,0.1536625623703003
flow-NPE,0.586357831954956,0.08083641529083252
flow-NPE,0.6026612520217896,0.1669750213623047
flow-NPE,0.650862455368042,0.14008378982543945
flow-NPE,0.5522670745849609,0.1209259033203125
flow-NPE,0.5736746788024902,0.06336712837219238
flow-NPE,0.588782548904419,0.023166775703430176
flow-NPE,0.6120028495788574,0.12499356269836426
flow-NPE,0.5703186988830566,0.14319360256195068
flow-NPE,0.719243049621582,0.08588874340057373
flow-NPE,0.563525915145874,0.20023012161254883
flow-NPE,0.5983613729476929,0.10431206226348877
flow-NPE,0.6023907661437988,0.06488490104675293
flow-NPE,0.6165181398391724,0.13086795806884766
flow-NPE,0.5774942636489868,0.10085415840148926
flow-NPE,0.571936845779419,0.11335325241088867
flow-NPE,0.6021633148193359,0.07295525074005127
flow-NPE,0.6646106243133545,0.09406840801239014
flow-NPE,0.621502161026001,0.10655021667480469
flow-NPE,0.7691179513931274,0.02314138412475586
flow-NPE,0.5474147796630859,0.04224812984466553
flow-NPE,0.5765671730041504,0.10100746154785156
flow-NPE,0.688194990158081,0.0003682374954223633
flow-NPE,0.5931286811828613,0.07750856876373291
flow-NPE,0.5995920896530151,0.026134490966796875
flow-NPE,0.602668046951294,0.14868438243865967
flow-NPE,0.6124663352966309,0.15828239917755127
flow-NPE,0.6299465894699097,0.15811359882354736
flow-NPE,0.6655133962631226,0.14740300178527832
flow-NPE,0.6551021337509155,0.106911301612854
flow-NPE,0.5249128341674805,0.08350157737731934
flow-NPE,0.5718444585800171,0.06910312175750732
flow-NPE,0.6219518184661865,0.17440903186798096
flow-NPE,0.6166648864746094,0.07335543632507324
flow-NPE,0.5718493461608887,0.0690697431564331
flow-NPE,0.5808064937591553,0.06981432437896729
flow-NPE,0.6295794248580933,0.21950197219848633
flow-NPE,0.5422252416610718,0.16571438312530518
flow-NPE,0.6662057638168335,0.060298800468444824
flow-NPE,0.6067720651626587,0.1666569709777832
flow-NPE,0.6347829103469849,0.14927124977111816
flow-NPE,0.6466671228408813,0.036583542823791504
