method,standardisation,seed,n_obs,N_sims,theta_kl,status
flow_npe,standard_zscore_baseline,88,1000,1000000,1.4983635767336152,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,89,1000,1000000,1.7249082661503004,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,90,1000,1000000,1.5568644485485599,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,91,1000,1000000,1.8612167126342412,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,92,1000,1000000,4.45508490117545,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,93,1000,1000000,1.6117666812612266,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,94,1000,1000000,3.983406777353474,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,95,1000,1000000,1.498918204860409,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,96,1000,1000000,2.7449679559574793,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,97,1000,1000000,1.491905336512411,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,98,1000,1000000,2.2595860006330337,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,99,1000,1000000,1.4488890449289584,baseline_from_v3_csv
flow_npe,standard_zscore_baseline,100,1000,1000000,1.3063196575617113,baseline_from_v3_csv
gaussian_npe,identity_median_iqr,0,1000,1000000,3.12015082193,finite_metric
gaussian_npe,identity_median_iqr,1,1000,1000000,1.88859133352,finite_metric
gaussian_npe,identity_median_iqr,2,1000,1000000,1.74861407714,finite_metric
gaussian_npe,identity_median_iqr,3,1000,1000000,1.36351150727,finite_metric
gaussian_npe,identity_median_iqr,4,1000,1000000,1.58573918423,finite_metric
gaussian_npe,identity_median_iqr,5,1000,1000000,1.98332901274,finite_metric
gaussian_npe,identity_median_iqr,6,1000,1000000,1.36724944404,finite_metric
gaussian_npe,identity_median_iqr,7,1000,1000000,1.54457152755,finite_metric
gaussian_npe,identity_median_iqr,8,1000,1000000,1.88909044952,finite_metric
gaussian_npe,identity_median_iqr,9,1000,1000000,1.5124074259,finite_metric
gaussian_npe,identity_median_iqr,10,1000,1000000,2.01828751133,finite_metric
gaussian_npe,identity_median_iqr,11,1000,1000000,2.10227020756,finite_metric
gaussian_npe,identity_median_iqr,12,1000,1000000,1.51717006593,finite_metric
gaussian_npe,identity_median_iqr,13,1000,1000000,1.75578368171,finite_metric
gaussian_npe,identity_median_iqr,14,1000,1000000,1.84237505734,finite_metric
gaussian_npe,identity_median_iqr,15,1000,1000000,2.53053088997,finite_metric
gaussian_npe,identity_median_iqr,16,1000,1000000,2.14084373962,finite_metric
gaussian_npe,identity_median_iqr,17,1000,1000000,1.1485315346,finite_metric
gaussian_npe,identity_median_iqr,18,1000,1000000,1.32811181013,finite_metric
gaussian_npe,identity_median_iqr,19,1000,1000000,1.49817467617,finite_metric
gaussian_npe,identity_median_iqr,20,1000,1000000,1.23042828249,finite_metric
gaussian_npe,identity_median_iqr,21,1000,1000000,1.79495670196,finite_metric
gaussian_npe,identity_median_iqr,22,1000,1000000,0.984792348586,finite_metric
gaussian_npe,identity_median_iqr,23,1000,1000000,1.92644804681,finite_metric
