method,n,N,N_label,param,seed_count,replicate_count_total,seed_mean_bias_mean,seed_mean_bias_sd,seed_mean_abs_bias_mean,seed_mean_bias_rmse,replicate_mean_abs_bias_mean,seed_mean_bias_q05,seed_mean_bias_q25,seed_mean_bias_q50,seed_mean_bias_q75,seed_mean_bias_q95
gaussian_npe,500,3107,N=n log(n),sigma,101,10100,1.096954778232197,0.1631829074705113,1.096954778232197,1.1089070279627549,1.096954778232197,0.862482042312622,1.0112189722061158,1.0868227696418762,1.1980909538269042,1.3444272518157958
gaussian_npe,500,3107,N=n log(n),xi,101,10100,-1.2828662765616239,0.08243911709015778,1.2828662765616239,1.2854862124415443,1.2828662765616239,-1.3954067873954772,-1.3382906007766724,-1.2959259939193726,-1.223205349445343,-1.1515359282493591
gaussian_npe,500,11180,N=n^(3/2),lambda,101,10100,0.00531615984321821,0.2456499569527151,0.19584788785122412,0.24448864705040765,0.4041616345396137,-0.3902162170410156,-0.16505180358886717,0.008399200439453126,0.14296432495117187,0.4268048858642578
gaussian_npe,500,11180,N=n^(3/2),sigma,101,10100,0.7457052642520111,0.38829163448774656,0.7467212832564174,0.8398535338819024,0.7469333302148499,0.14791404128074645,0.42194095611572263,0.7293809199333191,1.0641152548789978,1.285323212146759
gaussian_npe,500,11180,N=n^(3/2),xi,101,10100,-1.1168570906130393,0.2690407224800413,1.1168570906130393,1.1484929293323782,1.1168570906130393,-1.3849060976505279,-1.3130289387702943,-1.1929606878757477,-1.0089885449409486,-0.5860522311925888
gaussian_npe,500,250000,N=n^2,lambda,95,9500,0.17747550884046054,1.4626504951485426,0.29448551218133223,1.465716408675312,0.5290017539576479,-0.2612417526245117,-0.09621360778808594,0.03324020385742187,0.15570236206054688,0.34395700073242186
gaussian_npe,500,250000,N=n^2,sigma,95,9500,0.05855947087940418,0.588206726307186,0.08976717389257331,0.5880258450718389,0.11082043251238372,-0.06571073067188263,-0.021321075558662417,-0.00013524889945983886,0.020511231422424316,0.05532354605197905
gaussian_npe,500,250000,N=n^2,xi,95,9500,0.0038153607853149106,0.044922821563061544,0.015266967708342953,0.044848346004606764,0.01906945495621154,-0.025597487442195414,-0.007718239799141884,-0.0008188127726316452,0.008644425347447394,0.022971563488245004
gaussian_npe,1000,1000,N=n,lambda,101,10100,0.08595967283343321,0.8697527493153696,0.48030117450374193,0.8696948371988351,0.5619109178297591,-0.8863477325439453,-0.32145172119140625,0.025769119262695313,0.2216339874267578,1.130193557739258
gaussian_npe,1000,1000,N=n,sigma,101,10100,1.0894333251868142,0.48173753792267054,1.0894333251868142,1.1902261517246122,1.0894333251868142,0.6923823332786561,0.9022727108001709,1.014012975692749,1.1334908652305602,1.375498158931732
gaussian_npe,1000,1000,N=n,xi,101,10100,-1.303225976110685,0.09609552385231511,1.303225976110685,1.3067290711196045,1.303225976110685,-1.447429529428482,-1.361992141008377,-1.2973716378211975,-1.237191505432129,-1.155136696100235
gaussian_npe,1000,6907,N=n log(n),lambda,101,10100,0.03516721517732828,0.23236761799425512,0.1854537691928373,0.23387355948804853,0.31222065689540146,-0.3364105224609375,-0.11234786987304687,0.00507354736328125,0.22180343627929688,0.40023910522460937
gaussian_npe,1000,6907,N=n log(n),sigma,101,10100,1.0803715114310237,0.22351028487939495,1.0803715114310237,1.1030253070109832,1.0803715114310237,0.6813273501396179,0.9822698259353637,1.1110687732696534,1.2300805521011353,1.3810791850090027
gaussian_npe,1000,6907,N=n log(n),xi,101,10100,-1.288125600307295,0.08350820698832102,1.288125600307295,1.2908029040301146,1.288125600307295,-1.4098955249786378,-1.3396555697917938,-1.2959735941886903,-1.2453703415393829,-1.1408371210098267
gaussian_npe,1000,31622,N=n^(3/2),lambda,100,10000,0.03966293334960938,0.2091667100644378,0.1765862365722656,0.21186399825143568,0.30132151641845706,-0.28223582458496094,-0.10970432281494141,0.054209022521972655,0.20717573165893555,0.33123193359374997
gaussian_npe,1000,31622,N=n^(3/2),sigma,100,10000,0.4911946092844009,0.3276142447909647,0.49432775242328636,0.5895166890310314,0.4950305709600448,0.05241414761543275,0.2320321500301361,0.4442450845241547,0.689130458831787,1.116520070195198
gaussian_npe,1000,31622,N=n^(3/2),xi,100,10000,-0.9938917674712836,0.3309340104077925,0.9950254596866667,1.047016232681868,0.9950254596866667,-1.3359144085049628,-1.2328345397114755,-1.089155285358429,-0.809155405908823,-0.30548276042193223
gaussian_npe,1000,1000000,N=n^2,lambda,70,7000,0.6209705211094448,3.0524751643476025,0.759977213178362,3.093557883649391,0.9067038127354212,-0.2876155052185058,-0.08106693267822265,-0.009002151489257813,0.07694622039794922,0.3927612037658689
gaussian_npe,1000,1000000,N=n^2,sigma,70,7000,0.21754988549436846,1.0518459797286521,0.2533593512092318,1.0667251237678306,0.2650151512793132,-0.06024841773509979,-0.03297030478715896,-0.00670579195022583,0.028414129018783568,0.08683422291278839
gaussian_npe,1000,1000000,N=n^2,xi,70,7000,5.0840619419301774e-05,0.05692699829660303,0.03239984338091952,0.05651893706070566,0.033559441060892176,-0.053410561613738534,-0.023615576550364493,-0.006284358948469161,0.016656244145706295,0.05981410897150634
gaussian_npe,5000,5000,N=n,lambda,101,10100,0.0014394038738590627,0.20390415132234824,0.15825323425897275,0.20289731961210458,0.19412618807046722,-0.33364990234375,-0.1363240051269531,0.018685379028320313,0.11585487365722656,0.2950213623046875
