method,n,N,N_label,seed,param,source,replicate_count,mean_bias,mean_abs_bias,rmse_bias,q05,q25,q50,q75,q95
gaussian_npe,5000,42585,N=n log(n),86,xi,biases.npy,100,-0.9848800265789032,0.9848800265789032,0.9849647081628333,-1.0044858813285829,-0.9933178424835205,-0.9846104979515076,-0.9745234251022339,-0.9651970803737641
gaussian_npe,5000,42585,N=n log(n),87,lambda,biases.npy,100,0.1544342803955078,0.16696311950683593,0.20651103761368736,-0.05497817993164063,0.0680694580078125,0.12689590454101562,0.23574066162109375,0.39787712097167954
gaussian_npe,5000,42585,N=n log(n),87,sigma,biases.npy,100,0.5089265203475952,0.5089265203475952,0.5099268307988315,0.4570833444595337,0.4853251576423645,0.5080854892730713,0.5305482149124146,0.5567694544792176
gaussian_npe,5000,42585,N=n log(n),87,xi,biases.npy,100,-1.0579752695560456,1.0579752695560456,1.058043027570325,-1.075961136817932,-1.0662077069282532,-1.0595381259918213,-1.0505216419696808,-1.042066103219986
gaussian_npe,5000,42585,N=n log(n),88,lambda,biases.npy,100,-0.09128532409667969,0.13803245544433593,0.16905975170850784,-0.3263683319091797,-0.19606781005859375,-0.0908203125,0.01241302490234375,0.11911964416503901
gaussian_npe,5000,42585,N=n log(n),88,sigma,biases.npy,100,0.5646141147613526,0.5646141147613526,0.5650982522420345,0.5221673965454101,0.5479831695556641,0.5662583112716675,0.5785187482833862,0.6037843823432922
gaussian_npe,5000,42585,N=n log(n),88,xi,biases.npy,100,-1.0612112152576447,1.0612112152576447,1.0612841403775417,-1.0820155560970306,-1.069174438714981,-1.060849666595459,-1.0529088079929352,-1.0417328178882599
gaussian_npe,5000,42585,N=n log(n),89,lambda,biases.npy,100,-0.08149314880371093,0.11768013000488281,0.15094046368375535,-0.27631263732910155,-0.14156532287597656,-0.08008956909179688,-0.0065441131591796875,0.13788185119628904
gaussian_npe,5000,42585,N=n log(n),89,sigma,biases.npy,100,0.39677934646606444,0.39677934646606444,0.3974055570281495,0.3601988434791565,0.3796578645706177,0.39555394649505615,0.4099465012550354,0.4328888177871704
gaussian_npe,5000,42585,N=n log(n),89,xi,biases.npy,100,-0.9858555269241333,0.9858555269241333,0.985921740678379,-1.0050589203834535,-0.9951744377613068,-0.9843590259552002,-0.9783664643764496,-0.9680947482585907
gaussian_npe,5000,42585,N=n log(n),90,lambda,biases.npy,100,0.002166595458984375,0.11839401245117187,0.14925719001733687,-0.21140632629394532,-0.10758209228515625,-0.011749267578125,0.07921409606933594,0.28497467041015623
gaussian_npe,5000,42585,N=n log(n),90,sigma,biases.npy,100,0.9577907395362854,0.9577907395362854,0.9583545537633728,0.902932631969452,0.9354637265205383,0.9592609405517578,0.9789257049560547,1.0091659903526307
gaussian_npe,5000,42585,N=n log(n),90,xi,biases.npy,100,-1.3682183778285981,1.3682183778285981,1.3682798560381877,-1.3874538362026214,-1.3782154321670532,-1.3694912195205688,-1.3566578328609467,-1.3462606966495514
gaussian_npe,5000,42585,N=n log(n),91,lambda,biases.npy,100,0.11325233459472656,0.1418915557861328,0.17597073663665364,-0.09421691894531249,0.01575469970703125,0.115234375,0.20302963256835938,0.31838188171386717
gaussian_npe,5000,42585,N=n log(n),91,sigma,biases.npy,100,0.32530816316604616,0.32530816316604616,0.3257274138028205,0.2966032028198242,0.316023588180542,0.324100136756897,0.33436572551727295,0.35009225606918337
gaussian_npe,5000,42585,N=n log(n),91,xi,biases.npy,100,-0.8553137648105621,0.8553137648105621,0.8553559292877742,-0.8676315724849701,-0.8617274910211563,-0.8563522398471832,-0.8489393591880798,-0.8398141473531723
gaussian_npe,5000,42585,N=n log(n),92,lambda,biases.npy,100,-0.23836700439453126,0.240218505859375,0.27637716155495706,-0.46760101318359376,-0.3256855010986328,-0.24292373657226562,-0.138671875,-0.015719985961914096
gaussian_npe,5000,42585,N=n log(n),92,sigma,biases.npy,100,1.3416422629356384,1.3416422629356384,1.3418875778770911,1.3071948885917664,1.3250851035118103,1.3400709629058838,1.356312870979309,1.3826025128364563
gaussian_npe,5000,42585,N=n log(n),92,xi,biases.npy,100,-1.3003299987316133,1.3003299987316133,1.3003871929471602,-1.320866048336029,-1.3106207251548767,-1.2990599870681763,-1.2904658019542694,-1.2834030210971832
gaussian_npe,5000,42585,N=n log(n),93,lambda,biases.npy,100,-0.45733985900878904,0.45733985900878904,0.4852754014753324,-0.7329742431640625,-0.5508270263671875,-0.4679412841796875,-0.35267066955566406,-0.18146553039550786
gaussian_npe,5000,42585,N=n log(n),93,sigma,biases.npy,100,0.216808021068573,0.216808021068573,0.2177065161361782,0.1872001051902771,0.20087915658950806,0.21524715423583984,0.23332053422927856,0.24882572889328003
gaussian_npe,5000,42585,N=n log(n),93,xi,biases.npy,100,-1.035959041118622,1.035959041118622,1.03604027301057,-1.0601023972034453,-1.0430282056331635,-1.034928321838379,-1.0268594026565552,-1.0180531978607177
gaussian_npe,5000,42585,N=n log(n),94,lambda,biases.npy,100,-0.3875311279296875,0.3875311279296875,0.41360477670570706,-0.6027137756347656,-0.474609375,-0.37291717529296875,-0.29843902587890625,-0.19461326599121095
