cell,method,param,x,density
n_obs=1000 seed=0 convention=gaussian,BSL,A,3.0102278273730922,8.105425880839801
n_obs=1000 seed=0 convention=gaussian,BSL,A,3.0115360227527277,8.324872091123618
n_obs=1000 seed=0 convention=gaussian,BSL,A,3.012844218132363,8.53187784374269
n_obs=1000 seed=0 convention=gaussian,BSL,A,3.014152413511998,8.720223730192782
n_obs=1000 seed=0 convention=gaussian,BSL,A,3.0154606088916336,8.886131922482255
n_obs=1000 seed=0 convention=gaussian,BSL,A,3.0167688042712686,9.028307421649066
n_obs=1000 seed=0 convention=gaussian,BSL,A,3.018076999650904,9.14760528166618
n_obs=1000 seed=0 convention=gaussian,BSL,A,3.0193851950305395,9.246561491980913
n_obs=1000 seed=0 convention=gaussian,BSL,A,3.0206933904101745,9.328969865873406
n_obs=1000 seed=0 convention=gaussian,BSL,A,3.02200158578981,9.399544765269507
n_obs=1000 seed=0 convention=gaussian,BSL,A,3.0233097811694454,9.46355675270197
n_obs=1000 seed=0 convention=gaussian,BSL,A,3.0246179765490804,9.526250075821354
n_obs=1000 seed=0 convention=gaussian,BSL,A,3.025926171928716,9.591905598467466
n_obs=1000 seed=0 convention=gaussian,BSL,A,3.0272343673083513,9.662602772731205
n_obs=1000 seed=0 convention=gaussian,BSL,A,3.0285425626879863,9.736990445038979
n_obs=1000 seed=0 convention=gaussian,BSL,A,3.0298507580676217,9.809571719869831
n_obs=1000 seed=0 convention=gaussian,BSL,A,3.0311589534472567,9.871009455435578
n_obs=1000 seed=0 convention=gaussian,BSL,A,3.032467148826892,9.90970179535917
n_obs=1000 seed=0 convention=gaussian,BSL,A,3.0337753442065276,9.914423386590164
n_obs=1000 seed=0 convention=gaussian,BSL,A,3.0350835395861626,9.87736087554766
n_obs=1000 seed=0 convention=gaussian,BSL,A,3.036391734965798,9.796615034228086
