method,n_obs,n_sims,budget_label,seed,kl,mmd
flow_npe,100,1000,N=n^(3/2),21,1.3310631892230764,0.23715901
flow_npe,100,1000,N=n^(3/2),22,0.22907931354172628,0.008477688
flow_npe,100,1000,N=n^(3/2),23,0.21664315031323192,0.0202744
flow_npe,100,1000,N=n^(3/2),24,0.4076623466148179,0.030367494
flow_npe,100,1000,N=n^(3/2),25,0.3245870954611891,0.008979201
flow_npe,100,1000,N=n^(3/2),26,0.18917593401837374,0.013903141
flow_npe,100,1000,N=n^(3/2),27,0.8145146068826854,0.010459423
flow_npe,100,1000,N=n^(3/2),28,0.2667266919787655,0.006108403
flow_npe,100,1000,N=n^(3/2),29,0.44962614501211556,0.028264046
flow_npe,100,1000,N=n^(3/2),30,0.269270124095776,0.0032999516
flow_npe,100,1000,N=n^(3/2),31,0.6771958257118719,0.031628966
flow_npe,100,1000,N=n^(3/2),32,0.3091184496984038,0.024394631
flow_npe,100,1000,N=n^(3/2),33,0.34743556818262866,0.016014814
flow_npe,100,1000,N=n^(3/2),34,0.2753240891619859,0.0087583065
flow_npe,100,1000,N=n^(3/2),35,0.4355638035092061,0.013782024
flow_npe,100,1000,N=n^(3/2),36,0.20139898008847343,0.011688232
flow_npe,100,1000,N=n^(3/2),37,0.36151245394769943,0.008815169
flow_npe,100,1000,N=n^(3/2),38,0.27073599496978157,0.009287477
flow_npe,100,1000,N=n^(3/2),39,0.6222555191456173,0.07624781
flow_npe,100,1000,N=n^(3/2),40,0.21374867289454763,0.0061243773
flow_npe,100,1000,N=n^(3/2),41,0.16694810994871395,0.0042390823
flow_npe,100,1000,N=n^(3/2),42,0.31761340264606586,0.010082245
flow_npe,100,1000,N=n^(3/2),43,0.7217101137471438,0.020019293
flow_npe,100,1000,N=n^(3/2),44,0.7643018340158261,0.04970789
flow_npe,100,1000,N=n^(3/2),45,0.4249229128220099,0.034344554
flow_npe,100,1000,N=n^(3/2),46,0.3528980719481431,0.04448998
flow_npe,100,1000,N=n^(3/2),47,0.3551549902022135,0.026151657
flow_npe,100,1000,N=n^(3/2),48,0.295480849505561,0.014851689
flow_npe,100,1000,N=n^(3/2),49,0.2671987073613625,0.012820482
flow_npe,100,1000,N=n^(3/2),50,0.44290654521075296,0.026159644
flow_npe,100,1000,N=n^(3/2),51,0.3897666606183331,0.03824961
flow_npe,100,1000,N=n^(3/2),52,0.13087535156617652,0.0015844107
flow_npe,100,1000,N=n^(3/2),53,0.383727059445658,0.012274981
flow_npe,100,1000,N=n^(3/2),54,0.1247344157735863,0.0061011314
flow_npe,100,1000,N=n^(3/2),55,0.6710608549345172,0.03530681
flow_npe,100,1000,N=n^(3/2),56,0.6086007612886213,0.0496279
flow_npe,100,1000,N=n^(3/2),57,0.31544293910493754,0.03550732
flow_npe,100,1000,N=n^(3/2),58,0.33242695448246423,0.013644576
flow_npe,100,1000,N=n^(3/2),59,0.596616726321604,0.05496776
flow_npe,100,1000,N=n^(3/2),60,0.24692052019772684,0.015288472
flow_npe,100,1000,N=n^(3/2),61,0.3291220056602012,0.029837012
flow_npe,100,1000,N=n^(3/2),62,0.18104810488543843,0.0116328
