n,N,N_label,standard_paper_grid,seed,flow_theta_kl,gaussian_theta_kl
100,1000,N=n^(3/2),1,64,6.017910811431917,6.803718022839678
100,1000,N=n^(3/2),1,65,6.277569960609247,5.948023989484749
100,1000,N=n^(3/2),1,66,8.566131973817933,5.761247585591554
100,1000,N=n^(3/2),1,67,7.615733905786357,7.532664168076969
100,1000,N=n^(3/2),1,68,7.436650573503515,6.166865445109253
100,1000,N=n^(3/2),1,69,6.676306463289721,5.612896599425175
100,1000,N=n^(3/2),1,70,6.840241595793332,5.664266933677239
100,1000,N=n^(3/2),1,71,6.127541674646421,5.251792088830244
100,1000,N=n^(3/2),1,72,7.582094986019427,5.581657267957733
100,1000,N=n^(3/2),1,73,8.19223073593834,5.04635028387634
100,1000,N=n^(3/2),1,74,7.466362986161364,5.929920781600278
100,1000,N=n^(3/2),1,75,7.882798689316242,4.7369366678425795
100,1000,N=n^(3/2),1,76,8.478661350205781,6.442490014234459
100,1000,N=n^(3/2),1,77,8.067961614955065,5.366875370538893
100,1000,N=n^(3/2),1,78,8.063344765900979,5.828912245551231
100,1000,N=n^(3/2),1,79,6.774207803504228,4.887042542493336
100,1000,N=n^(3/2),1,80,6.609505134287192,5.095817105352459
100,1000,N=n^(3/2),1,81,6.371883901960964,7.266504926749043
100,1000,N=n^(3/2),1,82,6.8123376116826115,6.778845326605253
100,1000,N=n^(3/2),1,83,9.15783306017524,7.567077496252079
100,1000,N=n^(3/2),1,84,9.768993832464837,6.303113765243296
100,1000,N=n^(3/2),1,85,5.087999520804653,6.896000022113681
100,1000,N=n^(3/2),1,86,7.889810909108918,7.197296758353159
100,1000,N=n^(3/2),1,87,6.34590305834408,6.373126695463885
100,1000,N=n^(3/2),1,88,6.594787153808532,5.009808621762884
100,1000,N=n^(3/2),1,89,6.52658585444454,5.555811157393195
100,1000,N=n^(3/2),1,90,5.190812902004583,6.1940887128130475
100,1000,N=n^(3/2),1,91,6.3929354811199595,5.928081859952999
100,1000,N=n^(3/2),1,92,7.000853216259781,5.806745026545349
100,1000,N=n^(3/2),1,93,8.870126474723872,5.538152039632506
100,1000,N=n^(3/2),1,94,5.463755468597908,5.460276584371902
100,1000,N=n^(3/2),1,95,6.1517549643155105,10.988247120749628
100,1000,N=n^(3/2),1,96,5.538248995145989,7.298002835154819
100,1000,N=n^(3/2),1,97,8.358726931777637,6.415485668813062
100,1000,N=n^(3/2),1,98,6.594800241099485,5.75192542747702
100,1000,N=n^(3/2),1,99,6.876798302923569,6.532350783954282
100,1000,N=n^(3/2),1,100,7.85377198859121,6.221975867139489
100,10000,N=n^2,1,0,4.972799721747972,4.784845817179296
100,10000,N=n^2,1,1,3.3360864801084933,4.035050427270146
100,10000,N=n^2,1,2,4.582954415972067,4.411303399445207
100,10000,N=n^2,1,3,4.101300311823698,5.349538161936854
100,10000,N=n^2,1,4,3.9183453083180817,2.999242248008868
100,10000,N=n^2,1,5,4.910471364377509,2.7461005588607454
100,10000,N=n^2,1,6,5.122265882415574,3.057993166427415
100,10000,N=n^2,1,7,4.579486483574591,4.632383643796662
100,10000,N=n^2,1,8,3.5040284110296853,4.45409407037282
100,10000,N=n^2,1,9,3.845874627345597,5.097604540977283
100,10000,N=n^2,1,10,3.578576462471221,4.074297521836822
100,10000,N=n^2,1,11,4.971794438291943,3.3585250124761092
100,10000,N=n^2,1,12,4.816541247050238,4.482792061507431
100,10000,N=n^2,1,13,4.152835770895723,4.093436723229255
100,10000,N=n^2,1,14,4.331124359244815,3.449047902459182
100,10000,N=n^2,1,15,3.4339933700030048,3.8501945455590865
100,10000,N=n^2,1,16,4.255469494937275,3.885741630620114
100,10000,N=n^2,1,17,5.215038600264246,3.3639962978658686
100,10000,N=n^2,1,18,4.066922515155805,4.518938835107181
100,10000,N=n^2,1,19,5.040156756697117,4.513107624374485
100,10000,N=n^2,1,20,4.222372399978188,3.973175192399387
100,10000,N=n^2,1,21,4.178208115159615,3.9481398407021873
100,10000,N=n^2,1,22,4.971348539730328,5.313843629445824
100,10000,N=n^2,1,23,3.432788080863268,3.0208387918885893
100,10000,N=n^2,1,24,4.01442779731546,2.9369250539822804
100,10000,N=n^2,1,25,3.358585337921802,3.901523049459888
100,10000,N=n^2,1,26,3.4732878434909935,5.450548637643002
100,10000,N=n^2,1,27,4.12321450147763,4.4070096168950785
100,10000,N=n^2,1,28,4.0962908145156485,6.164127803928582
100,10000,N=n^2,1,29,4.214510552813456,3.914227999397536
100,10000,N=n^2,1,30,3.2236899292373917,3.4672606144948297
100,10000,N=n^2,1,31,4.66061376440311,4.611082834805077
100,10000,N=n^2,1,32,2.469789381152827,3.7317491459844687
100,10000,N=n^2,1,33,3.914895319702378,2.7675966890838173
100,10000,N=n^2,1,34,4.204806139439321,5.040124774749442
100,10000,N=n^2,1,35,5.9510042263663365,3.377456487884648
100,10000,N=n^2,1,36,5.046481079464703,2.92785755196635
100,10000,N=n^2,1,37,5.36956757859197,5.900890532265299
100,10000,N=n^2,1,38,3.4598023263222424,4.563644821774906
100,10000,N=n^2,1,39,4.930419255499198,3.9781471362402945
100,10000,N=n^2,1,40,4.736915295789451,4.550280385858666
100,10000,N=n^2,1,41,5.888571884762866,4.3281655377978225
100,10000,N=n^2,1,42,4.471920048311011,4.305577017186172
100,10000,N=n^2,1,43,5.859842238957662,4.262499407223299
100,10000,N=n^2,1,44,4.738557476132348,4.8302138888609045
100,10000,N=n^2,1,45,4.361278036565195,5.6300941438481
100,10000,N=n^2,1,46,3.5516111154298153,4.1230099700308
100,10000,N=n^2,1,47,3.0441833817704835,5.10528616162105
100,10000,N=n^2,1,48,3.859690575062913,4.194609879410954
100,10000,N=n^2,1,49,5.688397150660869,4.032844281949561
100,10000,N=n^2,1,50,4.43915112937006,4.241714065792907
100,10000,N=n^2,1,51,3.465981476033834,3.0952044453690246
100,10000,N=n^2,1,52,3.4899383973591944,4.1712269840071965
